depth_mm,evaluated_voxels,voxel_difference_noise_RMS_pp,observed_voxel_difference_RMS_percent,central_peak_TOPAS_SE_percent,central_peak_GPU_SE_percent,central_peak_ratio_SE_pp,central_peak_CI95_half_width_pp,adjacent_valleys_TOPAS_SE_percent,adjacent_valleys_GPU_SE_percent,adjacent_valleys_ratio_SE_pp,adjacent_valleys_CI95_half_width_pp,inner_field_peaks_TOPAS_SE_percent,inner_field_peaks_GPU_SE_percent,inner_field_peaks_ratio_SE_pp,inner_field_peaks_CI95_half_width_pp,inner_field_valleys_TOPAS_SE_percent,inner_field_valleys_GPU_SE_percent,inner_field_valleys_ratio_SE_pp,inner_field_valleys_CI95_half_width_pp
108.625,377,4.327501698212911,4.441203788739463,0.26656657607475626,1.1059385114745202,1.1509950422751853,3.4570319947304062,0.6352453818358751,0.6637226096193309,0.920705137033743,2.253933586549723,0.2628678960171497,0.17821893761618327,0.3176645418673891,0.8038626764802819,0.21066280653397623,0.2981290242461577,0.365046191923151,0.9179479308476308
108.875,378,4.417139763865487,4.6739085463820365,0.38914697962320327,1.1199486909131247,1.19904122198822,3.432653961753283,0.5070666855949958,0.5534110242917856,0.7504529979509793,1.8396851039633313,0.21204172521740425,0.2189201668305149,0.3049274673558584,0.7463148738794414,0.18462545446837555,0.39767614383311933,0.4387880952940188,1.1919833089678775
109.125,377,4.366488047670706,4.450273455391739,0.3212458206353608,0.9596871129757224,1.0243929310260065,2.9500562973429942,0.5168243409753,0.478969057581795,0.7016429292266821,1.7192600427039637,0.2305670746109943,0.20154433254456947,0.30640050910333083,0.7529970437839482,0.1117076975136073,0.47431619718238627,0.4869783057623598,1.4660309510183134
109.375,378,4.398444586460985,4.339976595037075,0.2875496332063705,0.9281837319476957,0.9811620453061927,2.858339950217204,0.6950159730751297,0.4585075586943582,0.8230309747800825,2.091952813156939,0.2518349102696314,0.1706448466597072,0.30447994876502854,0.7705657940870075,0.25534675896261483,0.5138338311002,0.5707721531430825,1.529907576305372
109.625,376,4.390783615253014,4.348874045759725,0.15914073164247772,0.7743113628589692,0.79828422368777,2.432297845609281,0.9961214520045251,0.6848099461069143,1.210376225627452,3.056240332196593,0.28508643381342696,0.19069100146096699,0.3432403966904262,0.8704646587790572,0.41674562271511023,0.6087228215177259,0.7388525476210247,1.8668322777496273
109.875,378,4.402790124476392,4.500776485073518,0.13194283130592976,0.6619680646601355,0.6816991672150268,2.0819944287198155,0.8413238704445775,0.8726604895828903,1.2198976380753863,2.985949060258388,0.3044567092648996,0.13854093191463546,0.3345455670670458,0.9123637430878079,0.5020628327789495,0.7089297967995074,0.8682979846195586,2.182714795453295
110.125,376,4.31484960380382,4.431641907153682,0.09598846274921308,0.6996360117899326,0.7139331013373704,2.226140426529066,0.701851580205917,0.9357679736544932,1.1794139131392516,2.9416509631168437,0.32745436552974716,0.18924234478432056,0.3781431641426322,0.9841734234938517,0.24448725452545558,0.5133650939941283,0.5706888624596643,1.5425697121918496
110.375,378,4.33487448299782,4.386228729555452,0.23345364289116488,0.7776666416634889,0.8201039281338927,2.399680906874147,0.7222506274551708,0.9932166718486803,1.2407766915661012,3.1073758179571813,0.27144870022291956,0.20446595528211742,0.3398754650996536,0.8472485762125269,0.19310907022581345,0.6608435036183542,0.6929796419218948,2.0350899650511685
110.625,377,4.349444485152542,4.39756303235261,0.2748490037059679,0.8732441407599538,0.9276581794781601,2.6963222862638556,0.7745239515846533,0.8125392232745465,1.1312976455669619,2.769724576687214,0.25222677518711384,0.21399794395444205,0.3311893596273187,0.815632527867369,0.28143933080599143,0.5702033032026593,0.6379904235504772,1.7123781107844946
110.875,377,4.369262682088129,4.265895696344497,0.36188718623426014,0.7590472020569707,0.8496480052762091,2.2961018455987277,0.8002548654645083,0.5459362933951866,0.9708734962229083,2.454429416407276,0.2629127575024166,0.18741595032894626,0.32322750205280076,0.8117551650711525,0.21602978694092437,0.4543116252143934,0.5039689665651113,1.3626393071330871
