event_id,context,E_total_MeV,range_mm,dedx_MeV_mm,inverse_MeV,true_step_mm
532,1,172.44355046820112,0.78857950283602718,121.66835759037369,172.4438195015309,0.050000000000000003
533,2,172.44355046820112,0.15286943069704734,656.68604494141618,172.44380947045224,0.017081055692510377
534,0,179.85938207925483,0.85018515021641494,117.63490824516494,179.86010770437252,0.050000000000000003
535,1,179.85938207925483,0.85018477816077553,117.63498588325474,179.86008565621361,0.050000000000000003
536,2,179.85938207925483,0.16427290400180233,635.61384088669922,179.85994729382054,0.018221811712106455
537,0,187.59412708738364,0.91668669800350089,113.72869042446834,187.594176227345,0.050000000000000003
538,1,187.59412708738364,0.91668653318138915,113.72871445609246,187.5941701945795,0.050000000000000003
539,2,187.59412708738364,0.17657587550270451,615.09283232330756,187.59413465718731,0.019452490591258143
540,0,195.66150017223077,0.98847440997106606,109.94393575083015,195.66205787222444,0.050000000000000003
541,1,195.66150017223077,0.98847526689579812,109.94372777909686,195.66210362351643,0.050000000000000003
542,2,195.66150017223077,0.18985116329298035,594.88636664786054,195.66224995437727,0.020780375773673358
543,0,204.07580580502383,1.0659698118328209,106.27932716247766,204.07650335029825,0.050000000000000003
544,1,204.07580580502383,1.0659714018907867,106.27897962368191,204.07656950895122,0.050000000000000003
545,2,204.07580580502383,0.2041709274880234,575.24834552488142,204.07658298054366,0.022212684677530525
546,0,212.85196361220858,1.149627514468589,102.73272035508936,212.85197273039597,0.050000000000000003
547,1,212.85196361220858,1.1496274971141858,102.73282318981101,212.85195615950565,0.050000000000000003
548,2,212.85196361220858,0.2196092514924162,556.71848444816237,212.85201366617395,0.023756826961237775
549,0,222.00553482983057,1.2399375982179521,99.299592516941715,222.00638261563799,0.050000000000000003
550,1,222.00553482983057,1.2399331228940975,99.300804251678102,222.00621943263948,0.050000000000000003
551,2,222.00553482983057,0.23624250455965115,539.68910470550759,222.00706239858187,0.025420440811288018
552,0,231.55274989557194,1.3374291730366272,95.978930217610653,231.5532899690869,0.050000000000000003
553,1,231.55274989557194,1.3374230312923803,95.980303134576388,231.55313994144203,0.050000000000000003
554,2,231.55274989557194,0.25414533632195407,523.8200348101866,231.55394453405958,0.027210992351395121
555,0,241.51053722736688,1.4426722670423833,92.766717145833653,241.51072071644191,0.050000000000000003
556,1,241.51053722736688,1.4426753165240325,92.765039085900412,241.5108630617311,0.050000000000000003
557,2,241.51053722736688,0.27339384544279349,508.49667022122605,241.51013874790945,0.029136092590144311
558,0,251.89655323962438,1.556282099959406,89.659020036616965,251.89760967468993,0.050000000000000003
559,1,251.89655323962438,1.5563021759110771,89.652642071094192,251.89801697430482,0.050000000000000003
560,2,251.89655323962438,0.29408080932060288,493.32741368092428,251.89613924849985,0.031205020548752453
