# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
240.000000,1.000000000000e-03,1.000000000000e-03,9.999999989075e-04,1.000000000000e-03,4.576536809801e+05,3.333333333333e+01
240.000000,5.000000000000e-03,5.000000000000e-03,4.999999972687e-03,5.000000000000e-03,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e-02,1.000000000000e-02,9.999999890747e-03,1.000000000000e-02,4.576536809801e+05,3.333333333333e+01
240.000000,2.500000000000e-02,2.500000000000e-02,2.499999931717e-02,2.500000000000e-02,4.576536809801e+05,3.333333333333e+01
240.000000,5.000000000000e-02,5.000000000000e-02,4.999999726868e-02,5.000000000000e-02,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e-01,1.000000000000e-01,9.999998907471e-02,1.000000000000e-01,4.576536809801e+05,3.333333333333e+01
240.000000,2.500000000000e-01,2.500000000000e-01,2.499999317169e-01,2.500000000000e-01,4.576536809801e+05,3.333333333333e+01
240.000000,5.000000000000e+01,3.333333333333e+01,3.333090566753e+01,3.333333333333e+01,4.576536809801e+05,3.333333333333e+01
240.000000,1.000000000000e+02,3.333333333333e+01,3.333090566753e+01,3.333333333333e+01,4.576536809801e+05,3.333333333333e+01
240.000000,1.666666666667e+01,1.666666666667e+01,1.666629417738e+01,1.666666666667e+01,4.576536809801e+05,3.333333333333e+01
240.000000,3.000000000000e+01,3.000000000000e+01,2.999837404462e+01,3.000000000000e+01,4.576536809801e+05,3.333333333333e+01
240.000000,3.333333333333e+01,3.333333333333e+01,3.333090566753e+01,3.333333333333e+01,4.576536809801e+05,3.333333333333e+01
600.000000,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,1.000000000000e-07,2.774666960426e+06,8.333333333333e+01
600.000000,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.000000000000e-07,2.774666960426e+06,8.333333333333e+01
600.000000,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,5.000000000000e-07,2.774666960426e+06,8.333333333333e+01
600.000000,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,7.000000000000e-07,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,1.000000000000e-06,2.774666960426e+06,8.333333333333e+01
600.000000,2.000000000000e-06,2.000000000000e-06,1.999999999999e-06,2.000000000000e-06,2.774666960426e+06,8.333333333333e+01
600.000000,5.000000000000e-06,5.000000000000e-06,4.999999999995e-06,5.000000000000e-06,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-05,1.000000000000e-05,9.999999999982e-06,1.000000000000e-05,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-04,1.000000000000e-04,9.999999999820e-05,1.000000000000e-04,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-03,1.000000000000e-03,9.999999998198e-04,1.000000000000e-03,2.774666960426e+06,8.333333333333e+01
600.000000,5.000000000000e-03,5.000000000000e-03,4.999999995495e-03,5.000000000000e-03,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-02,1.000000000000e-02,9.999999981980e-03,1.000000000000e-02,2.774666960426e+06,8.333333333333e+01
600.000000,2.500000000000e-02,2.500000000000e-02,2.499999988737e-02,2.500000000000e-02,2.774666960426e+06,8.333333333333e+01
600.000000,5.000000000000e-02,5.000000000000e-02,4.999999954950e-02,5.000000000000e-02,2.774666960426e+06,8.333333333333e+01
600.000000,1.000000000000e-01,1.000000000000e-01,9.999999819798e-02,1.000000000000e-01,2.774666960426e+06,8.333333333333e+01
