depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
100.375,378,378,100.0,240,63.492063492063494
100.625,378,378,100.0,242,64.02116402116403
100.875,379,379,100.0,248,65.4353562005277
101.125,381,381,100.0,222,58.267716535433074
101.375,379,379,100.0,233,61.477572559366756
101.625,378,378,100.0,248,65.60846560846561
101.875,378,378,100.0,224,59.25925925925926
102.125,379,379,100.0,237,62.53298153034301
102.375,380,380,100.0,242,63.68421052631579
102.625,379,379,100.0,230,60.68601583113456
102.875,379,379,100.0,247,65.17150395778364
103.125,379,379,100.0,241,63.58839050131926
103.375,378,378,100.0,235,62.16931216931217
103.625,378,378,100.0,243,64.28571428571429
103.875,378,378,100.0,234,61.904761904761905
104.125,378,378,100.0,246,65.07936507936508
104.375,378,378,100.0,237,62.698412698412696
104.625,378,378,100.0,232,61.37566137566137
104.875,377,377,100.0,241,63.92572944297082
105.125,376,376,100.0,238,63.297872340425535
105.375,377,377,100.0,233,61.80371352785146
105.625,377,377,100.0,233,61.80371352785146
105.875,376,376,100.0,248,65.95744680851064
106.125,377,377,100.0,246,65.25198938992042
106.375,377,377,100.0,236,62.59946949602122
106.625,377,377,100.0,247,65.51724137931035
106.875,378,378,100.0,247,65.34391534391534
107.125,377,377,100.0,242,64.19098143236074
107.375,377,377,100.0,238,63.12997347480106
107.625,378,378,100.0,239,63.22751322751323
107.875,376,376,100.0,251,66.75531914893617
108.125,377,377,100.0,236,62.59946949602122
108.375,379,379,100.0,251,66.2269129287599
108.625,377,377,100.0,246,65.25198938992042
108.875,378,378,100.0,239,63.22751322751323
109.125,377,377,100.0,240,63.6604774535809
109.375,378,378,100.0,239,63.22751322751323
109.625,376,376,100.0,235,62.5
109.875,378,378,100.0,243,64.28571428571429
110.125,376,376,100.0,236,62.765957446808514
110.375,378,378,100.0,245,64.81481481481481
110.625,377,377,100.0,232,61.53846153846154
110.875,377,377,100.0,227,60.212201591511935
111.125,377,377,100.0,224,59.41644562334218
111.375,377,377,100.0,240,63.6604774535809
111.625,377,377,100.0,239,63.39522546419098
111.875,377,377,100.0,243,64.45623342175067
112.125,376,376,100.0,237,63.03191489361702
112.375,377,377,100.0,246,65.25198938992042
112.625,376,376,100.0,247,65.69148936170212
112.875,377,377,100.0,251,66.57824933687003
113.125,377,377,100.0,232,61.53846153846154
113.375,377,377,100.0,232,61.53846153846154
113.625,378,378,100.0,227,60.05291005291005
113.875,378,378,100.0,244,64.55026455026454
114.125,378,378,100.0,234,61.904761904761905
114.375,378,378,100.0,236,62.43386243386244
114.625,380,380,100.0,236,62.10526315789474
114.875,379,379,100.0,232,61.21372031662269
115.125,378,378,100.0,224,59.25925925925926
115.375,378,378,100.0,244,64.55026455026454
115.625,379,379,100.0,243,64.11609498680738
115.875,379,378,99.73614775725594,240,63.324538258575195
116.125,378,377,99.73544973544973,230,60.84656084656085
116.375,379,378,99.73614775725594,234,61.74142480211082
116.625,380,379,99.73684210526316,237,62.36842105263158
116.875,380,379,99.73684210526316,230,60.526315789473685
117.125,380,377,99.21052631578948,227,59.73684210526316
117.375,381,379,99.4750656167979,224,58.79265091863517
117.625,381,381,100.0,230,60.36745406824147
117.875,381,379,99.4750656167979,221,58.00524934383202
118.125,382,380,99.47643979057591,213,55.75916230366492
118.375,383,381,99.47780678851174,227,59.268929503916446
118.625,383,382,99.73890339425587,233,60.8355091383812
118.875,383,382,99.73890339425587,233,60.8355091383812
119.125,383,379,98.9556135770235,236,61.61879895561358
119.375,383,379,98.9556135770235,231,60.31331592689295
119.625,384,377,98.17708333333333,230,59.895833333333336
119.875,383,376,98.17232375979113,222,57.96344647519582
120.125,384,378,98.4375,225,58.59375
120.375,384,375,97.65625,246,64.0625
120.625,385,376,97.66233766233766,228,59.22077922077922
120.875,388,377,97.16494845360825,229,59.02061855670103
121.125,386,376,97.40932642487047,237,61.398963730569946
121.375,389,377,96.91516709511568,231,59.383033419023135
121.625,390,378,96.92307692307692,228,58.46153846153846
121.875,390,376,96.41025641025641,229,58.717948717948715
122.125,390,376,96.41025641025641,237,60.76923076923077
122.375,390,378,96.92307692307692,226,57.94871794871795
122.625,390,380,97.43589743589743,234,60.0
122.875,392,379,96.68367346938776,229,58.41836734693877
123.125,393,376,95.67430025445293,229,58.26972010178117
123.375,394,376,95.43147208121827,236,59.898477157360404
123.625,394,373,94.67005076142132,230,58.3756345177665
123.875,394,374,94.9238578680203,217,55.076142131979694
124.125,393,372,94.65648854961832,215,54.70737913486005
124.375,392,369,94.13265306122449,217,55.357142857142854
124.625,392,371,94.64285714285714,209,53.316326530612244
124.875,390,371,95.12820512820512,207,53.07692307692308
125.125,390,360,92.3076923076923,204,52.30769230769231
125.375,391,361,92.32736572890026,204,52.17391304347826
125.625,391,357,91.30434782608695,200,51.150895140664964
125.875,389,358,92.03084832904884,196,50.38560411311054
126.125,388,366,94.3298969072165,189,48.71134020618557
126.375,387,364,94.05684754521964,175,45.21963824289406
126.625,383,364,95.03916449086162,171,44.64751958224543
126.875,382,353,92.40837696335079,154,40.31413612565445
127.125,381,358,93.96325459317585,155,40.68241469816273
127.375,378,355,93.91534391534391,145,38.35978835978836
127.625,377,359,95.22546419098143,156,41.37931034482759
127.875,374,363,97.05882352941177,153,40.90909090909091
128.125,372,356,95.6989247311828,134,36.02150537634409
128.375,367,355,96.73024523160763,133,36.23978201634878
128.625,362,358,98.89502762430939,133,36.74033149171271
128.875,355,351,98.87323943661971,106,29.859154929577464
129.125,346,342,98.84393063583815,90,26.01156069364162
129.375,338,331,97.92899408284023,98,28.994082840236686
129.625,320,318,99.375,97,30.3125
129.875,309,307,99.35275080906149,73,23.624595469255663
130.125,301,300,99.66777408637874,74,24.58471760797342
130.375,281,281,100.0,69,24.555160142348754
130.625,256,256,100.0,48,18.75
130.875,229,229,100.0,52,22.707423580786028
131.125,196,196,100.0,28,14.285714285714286
131.375,164,164,100.0,20,12.195121951219512
131.625,124,124,100.0,19,15.32258064516129
131.875,78,78,100.0,14,17.94871794871795
132.125,35,35,100.0,7,20.0
132.375,4,4,100.0,0,0.0
132.625,0,0,,0,
132.875,0,0,,0,
133.125,0,0,,0,
133.375,0,0,,0,
133.625,0,0,,0,
133.875,0,0,,0,
134.125,0,0,,0,
134.375,0,0,,0,
134.625,0,0,,0,
134.875,0,0,,0,
135.125,0,0,,0,
135.375,0,0,,0,
135.625,0,0,,0,
135.875,0,0,,0,
136.125,0,0,,0,
136.375,0,0,,0,
136.625,0,0,,0,
136.875,0,0,,0,
137.125,0,0,,0,
137.375,0,0,,0,
137.625,0,0,,0,
137.875,0,0,,0,
138.125,0,0,,0,
138.375,0,0,,0,
138.625,0,0,,0,
138.875,0,0,,0,
139.125,0,0,,0,
139.375,0,0,,0,
139.625,0,0,,0,
139.875,0,0,,0,
140.125,0,0,,0,
140.375,0,0,,0,
140.625,0,0,,0,
140.875,0,0,,0,
141.125,0,0,,0,
141.375,0,0,,0,
141.625,0,0,,0,
141.875,0,0,,0,
142.125,0,0,,0,
142.375,0,0,,0,
142.625,0,0,,0,
142.875,0,0,,0,
143.125,0,0,,0,
143.375,0,0,,0,
143.625,0,0,,0,
143.875,0,0,,0,
144.125,0,0,,0,
144.375,0,0,,0,
144.625,0,0,,0,
144.875,0,0,,0,
145.125,0,0,,0,
145.375,0,0,,0,
145.625,0,0,,0,
145.875,0,0,,0,
146.125,0,0,,0,
146.375,0,0,,0,
146.625,0,0,,0,
146.875,0,0,,0,
147.125,0,0,,0,
147.375,0,0,,0,
147.625,0,0,,0,
147.875,0,0,,0,
148.125,0,0,,0,
148.375,0,0,,0,
148.625,0,0,,0,
148.875,0,0,,0,
149.125,0,0,,0,
149.375,0,0,,0,
149.625,0,0,,0,
149.875,0,0,,0,
150.125,0,0,,0,
150.375,0,0,,0,
150.625,0,0,,0,
150.875,0,0,,0,
151.125,0,0,,0,
151.375,0,0,,0,
151.625,0,0,,0,
151.875,0,0,,0,
152.125,0,0,,0,
152.375,0,0,,0,
152.625,0,0,,0,
152.875,0,0,,0,
153.125,0,0,,0,
153.375,0,0,,0,
153.625,0,0,,0,
153.875,0,0,,0,
154.125,0,0,,0,
154.375,0,0,,0,
154.625,0,0,,0,
154.875,0,0,,0,
155.125,0,0,,0,
155.375,0,0,,0,
155.625,0,0,,0,
155.875,0,0,,0,
156.125,0,0,,0,
156.375,0,0,,0,
156.625,0,0,,0,
156.875,0,0,,0,
157.125,0,0,,0,
157.375,0,0,,0,
157.625,0,0,,0,
157.875,0,0,,0,
158.125,0,0,,0,
158.375,0,0,,0,
158.625,0,0,,0,
158.875,0,0,,0,
159.125,0,0,,0,
159.375,0,0,,0,
159.625,0,0,,0,
159.875,0,0,,0,
160.125,0,0,,0,
160.375,0,0,,0,
160.625,0,0,,0,
160.875,0,0,,0,
161.125,0,0,,0,
161.375,0,0,,0,
161.625,0,0,,0,
161.875,0,0,,0,
162.125,0,0,,0,
162.375,0,0,,0,
162.625,0,0,,0,
162.875,0,0,,0,
163.125,0,0,,0,
163.375,0,0,,0,
163.625,0,0,,0,
163.875,0,0,,0,
164.125,0,0,,0,
164.375,0,0,,0,
164.625,0,0,,0,
164.875,0,0,,0,
165.125,0,0,,0,
165.375,0,0,,0,
165.625,0,0,,0,
165.875,0,0,,0,
166.125,0,0,,0,
166.375,0,0,,0,
166.625,0,0,,0,
166.875,0,0,,0,
167.125,0,0,,0,
167.375,0,0,,0,
167.625,0,0,,0,
167.875,0,0,,0,
168.125,0,0,,0,
168.375,0,0,,0,
168.625,0,0,,0,
168.875,0,0,,0,
169.125,0,0,,0,
169.375,0,0,,0,
169.625,0,0,,0,
169.875,0,0,,0,
170.125,0,0,,0,
170.375,0,0,,0,
170.625,0,0,,0,
170.875,0,0,,0,
171.125,0,0,,0,
171.375,0,0,,0,
171.625,0,0,,0,
171.875,0,0,,0,
172.125,0,0,,0,
172.375,0,0,,0,
172.625,0,0,,0,
172.875,0,0,,0,
173.125,0,0,,0,
173.375,0,0,,0,
