energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
71,0.00468103,0.0063378,0.00698882,0.00685491,0.00672034,0.00661418,0.00652603,0.0063608,0.0062577,0.00635693,0.00618544,0.00599556,0.00582712,0.00568656,0.00554639,0.00541079,0.00527485,0.00516573,0.005075,0.00496731,0.00488291,0.00479923,0.00471626,0.00465978,0.00271239
72,0.00466317,0.00630512,0.00695194,0.00681892,0.00668523,0.00657975,0.00649217,0.006328,0.00622596,0.00632458,0.00615433,0.00596585,0.00579862,0.00565908,0.00551994,0.00538533,0.00525039,0.00514207,0.00505198,0.0049451,0.00486131,0.00477823,0.00469587,0.0046398,0.00270402
73,0.00464561,0.00627305,0.00691576,0.0067836,0.00665078,0.00654597,0.00645896,0.00629581,0.00619483,0.00629283,0.0061238,0.00593668,0.00577066,0.00563212,0.00549398,0.00536034,0.00522638,0.00511885,0.00502939,0.00492328,0.00484009,0.00475761,0.00467585,0.00462018,0.00269578
74,0.00462835,0.00624159,0.00688026,0.00674895,0.00661699,0.00651282,0.00642638,0.00626423,0.00616428,0.00626169,0.00609384,0.00590806,0.00574322,0.00560566,0.00546849,0.00533582,0.00520281,0.00509605,0.00500721,0.00490186,0.00481926,0.00473737,0.00465618,0.00460091,0.00268767
75,0.00461138,0.00621072,0.00684544,0.00671496,0.00658383,0.0064803,0.00639441,0.00623325,0.0061343,0.00623112,0.00606444,0.00587998,0.00571628,0.00557969,0.00544348,0.00531174,0.00517967,0.00507366,0.00498543,0.00488083,0.0047988,0.00471748,0.00463687,0.00458198,0.00267969
76,0.0045947,0.00618042,0.00681127,0.00668161,0.00655129,0.00644839,0.00636304,0.00620285,0.00610488,0.00620112,0.00603558,0.00585241,0.00568984,0.00555419,0.00541892,0.0052881,0.00515696,0.00505168,0.00496404,0.00486017,0.00477871,0.00469796,0.0046179,0.00456339,0.00267184
77,0.0045783,0.0061507,0.00677774,0.00664888,0.00651937,0.00641708,0.00633225,0.00617301,0.006076,0.00617169,0.00600727,0.00582535,0.00566389,0.00552916,0.00539481,0.00526489,0.00513465,0.0050301,0.00494305,0.00483989,0.00475899,0.00467878,0.00459927,0.00454513,0.00266411
78,0.00456217,0.00612153,0.00674484,0.00661677,0.00648804,0.00638636,0.00630205,0.00614374,0.00604767,0.0061428,0.00597948,0.0057988,0.00563842,0.00550459,0.00537115,0.00524211,0.00511275,0.00500891,0.00492243,0.00481997,0.00473961,0.00465994,0.00458097,0.00452719,0.00265651
79,0.00454632,0.00609291,0.00671256,0.00658525,0.00645729,0.00635621,0.0062724,0.006115,0.00601986,0.00611444,0.0059522,0.00577273,0.00561342,0.00548048,0.00534791,0.00521974,0.00509125,0.0049881,0.00490218,0.00480041,0.00472058,0.00464144,0.00456299,0.00450957,0.00264903
80,0.00453074,0.00606481,0.00668088,0.00655432,0.00642712,0.00632662,0.00624331,0.00608681,0.00599256,0.00608661,0.00592542,0.00574714,0.00558887,0.0054568,0.0053251,0.00519778,0.00507013,0.00496767,0.00488229,0.0047812,0.00470189,0.00462327,0.00454534,0.00449226,0.00264167
81,0.00451542,0.00603724,0.00664978,0.00652397,0.00639751,0.00629758,0.00621476,0.00605913,0.00596577,0.0060593,0.00589914,0.00572202,0.00556477,0.00543355,0.00530271,0.00517621,0.0050494,0.0049476,0.00486276,0.00476233,0.00468353,0.00460542,0.00452799,0.00447526,0.00263443
82,0.00450036,0.00601018,0.00661927,0.00649418,0.00636845,0.00626907,0.00618673,0.00603197,0.00593947,0.00603249,0.00587334,0.00569736,0.00554111,0.00541073,0.00528072,0.00515504,0.00502904,0.00492789,0.00484358,0.0047438,0.0046655,0.00458789,0.00451096,0.00445856,0.00262731
83,0.00448555,0.00598362,0.00658932,0.00646495,0.00633993,0.0062411,0.00615923,0.00600532,0.00591366,0.00600617,0.00584802,0.00567316,0.00551789,0.00538832,0.00525913,0.00513424,0.00500904,0.00490854,0.00482475,0.0047256,0.0046478,0.00457067,0.00449422,0.00444215,0.0026203
84,0.00447099,0.00595755,0.00655992,0.00643625,0.00631193,0.00621364,0.00613223,0.00597915,0.00588832,0.00598033,0.00582316,0.00564939,0.00549508,0.00536632,0.00523792,0.00511382,0.00498941,0.00488953,0.00480625,0.00470772,0.0046304,0.00455375,0.00447778,0.00442603,0.0026134
85,0.00445667,0.00593196,0.00653107,0.00640808,0.00628445,0.00618669,0.00610573,0.00595346,0.00586345,0.00595497,0.00579875,0.00562606,0.00547269,0.00534472,0.00521711,0.00509377,0.00497013,0.00487087,0.00478808,0.00469016,0.00461331,0.00453714,0.00446163,0.0044102,0.00260661
86,0.0044426,0.00590684,0.00650275,0.00638044,0.00625748,0.00616023,0.00607972,0.00592825,0.00583903,0.00593007,0.00577479,0.00560315,0.00545071,0.0053235,0.00519666,0.00507408,0.00495119,0.00485253,0.00477023,0.00467291,0.00459653,0.00452081,0.00444576,0.00439464,0.00259994
