# TOPAS 4.2.p3 / Geant4 11.3.2 Copper neutral macroscopic total cross sections.
pdg_id,energy_MeV,macroscopic_total_cross_section_per_mm,mean_free_path_mm
2112,0.00012735,0.0640295,15.6178
2112,0.000130818,0.0639551,15.636
2112,0.00013438,0.0639259,15.6431
2112,0.000138038,0.0638681,15.6573
2112,0.000141797,0.0638032,15.6732
2112,0.000145658,0.0637682,15.6818
2112,0.000149624,0.0637256,15.6923
2112,0.000153697,0.0636485,15.7113
2112,0.000157882,0.0635964,15.7242
2112,0.000162181,0.0635386,15.7385
2112,0.000166597,0.0635177,15.7436
2112,0.000171133,0.0634042,15.7718
2112,0.000175792,0.0632203,15.8177
2112,0.000180579,0.0630138,15.8695
2112,0.000185495,0.0628352,15.9146
2112,0.000190546,0.0626118,15.9714
2112,0.000195734,0.0623651,16.0346
2112,0.000201064,0.0620949,16.1044
2112,0.000206538,0.0618466,16.169
2112,0.000212162,0.0615193,16.2551
2112,0.000217938,0.0611324,16.3579
2112,0.000223872,0.0604528,16.5418
2112,0.000229968,0.264685,3.77808
2112,0.000236229,0.063158,15.8333
2112,0.000242661,0.0618175,16.1766
2112,0.000249268,0.0612326,16.3312
2112,0.000256055,0.0608326,16.4386
2112,0.000263027,0.0604835,16.5334
2112,0.000270188,0.0601835,16.6158
2112,0.000277545,0.0598378,16.7118
2112,0.000285102,0.0595569,16.7907
2112,0.000292864,0.0592455,16.8789
2112,0.000300838,0.0589527,16.9627
2112,0.00030903,0.0586371,17.054
2112,0.000317444,0.0583337,17.1428
2112,0.000326087,0.0580006,17.2412
2112,0.000334965,0.0576782,17.3376
2112,0.000344086,0.0573347,17.4414
2112,0.000353454,0.0570099,17.5408
2112,0.000363078,0.056646,17.6535
2112,0.000372964,0.0562581,17.7752
2112,0.000383119,0.0558712,17.8983
2112,0.00039355,0.0554749,18.0262
2112,0.000404265,0.0551502,18.1323
2112,0.000415273,0.0545698,18.3252
2112,0.00042658,0.0540647,18.4963
2112,0.000438194,0.053523,18.6835
2112,0.000450125,0.052914,18.8986
2112,0.000462381,0.0522384,19.143
2112,0.000474971,0.0514941,19.4197
2112,0.000487903,0.0505939,19.7652
2112,0.000501187,0.0495088,20.1984
2112,0.000514833,0.0480655,20.8049
2112,0.000528851,0.0462058,21.6423
2112,0.00054325,0.0436037,22.9338
2112,0.000558042,0.0407514,24.539
2112,0.000573236,0.336668,2.97028
2112,0.000588844,0.148505,6.73377
2112,0.000604876,0.0816119,12.2531
2112,0.000621346,0.0683056,14.6401
2112,0.000638263,0.0630993,15.848
2112,0.000655642,0.0612769,16.3194
2112,0.000673493,0.0584467,17.1096
2112,0.000691831,0.0569259,17.5667
2112,0.000710668,0.0557419,17.9398
2112,0.000730018,0.0547504,18.2647
2112,0.000749894,0.0538911,18.5559
2112,0.000770312,0.0530749,18.8413
2112,0.000791286,0.0522892,19.1244
2112,0.000812831,0.0523003,19.1203
2112,0.000834962,0.0512321,19.519
2112,0.000857696,0.0506153,19.7569
2112,0.000881049,0.0499965,20.0014
2112,0.000905038,0.049408,20.2396
2112,0.00092968,0.0488067,20.489
2112,0.000954993,0.0481932,20.7498
2112,0.000980995,0.0474274,21.0848
2112,0.0010077,0.0477994,20.9208
2112,0.00103514,0.0468719,21.3348
2112,0.00106333,0.0462565,21.6186
2112,0.00109228,0.0456839,21.8896
2112,0.00112202,0.045111,22.1675
2112,0.00115257,0.0445238,22.4599
2112,0.00118395,0.0439322,22.7623
2112,0.00121619,0.0433474,23.0694
2112,0.0012493,0.0427466,23.3937
2112,0.00128332,0.0421317,23.7351
2112,0.00131826,0.0415001,24.0963
2112,0.00135415,0.0406885,24.577
2112,0.00139102,0.0404249,24.7372
2112,0.00142889,0.0397269,25.1718
2112,0.0014678,0.0390641,25.5989
2112,0.00150776,0.0384169,26.0302
2112,0.00154882,0.0377825,26.4673
2112,0.00159099,0.0372159,26.8702
2112,0.00163431,0.0367402,27.2181
2112,0.0016788,0.0364839,27.4093
2112,0.00172451,0.036603,27.3202
2112,0.00177147,0.0375976,26.5975
2112,0.0018197,0.0405062,24.6876
2112,0.00186925,0.0486342,20.5617
2112,0.00192014,0.0731372,13.6729
2112,0.00197242,0.176835,5.65499
2112,0.00202613,1.37573,0.726885
2112,0.00208129,0.892096,1.12096
2112,0.00213796,0.225384,4.43688
2112,0.00219617,0.119529,8.36617
2112,0.00225597,0.0826251,12.1029
2112,0.00231739,0.0633313,15.79
2112,0.00238049,0.0505349,19.7883
2112,0.00244531,0.039759,25.1515
2112,0.00251189,0.144241,6.93284
2112,0.00258028,0.127845,7.82197
2112,0.00265053,1.94363,0.5145
2112,0.0027227,0.0755189,13.2417
2112,0.00279683,0.0614066,16.2849
2112,0.00287298,0.0549011,18.2146
2112,0.00295121,0.0507602,19.7005
2112,0.00303156,0.0476668,20.979
2112,0.00311411,0.0451039,22.171
2112,0.0031989,0.0430119,23.2494
2112,0.00328599,0.0409595,24.4143
2112,0.00337546,0.0393405,25.4191
2112,0.00346737,0.0374617,26.6939
2112,0.00356178,0.0358382,27.9032
2112,0.00365875,0.0340794,29.3432
2112,0.00375837,0.0324619,30.8053
2112,0.00386071,0.0409545,24.4173
2112,0.00396582,0.0926168,10.7972
