energy_MeV_per_u,water_macroscopic_cross_section_per_mm
11.83,0.00521172
11.84,0.00521066
11.85,0.00520961
11.86,0.00520856
11.87,0.00520751
11.88,0.00520646
11.89,0.00520542
11.9,0.00520437
11.91,0.00520333
11.92,0.00520228
11.93,0.00520124
11.94,0.0052002
11.95,0.00519916
11.96,0.00519813
11.97,0.00519709
11.98,0.00519605
11.99,0.00519502
12,0.00519399
12.01,0.00519296
12.02,0.00519193
12.03,0.0051909
12.04,0.00518987
12.05,0.00518885
12.06,0.00518782
12.07,0.0051868
12.08,0.00518578
12.09,0.00518476
12.1,0.00518374
12.11,0.00518272
12.12,0.0051817
12.13,0.00518069
12.14,0.00517967
12.15,0.00517866
12.16,0.00517765
12.17,0.00517664
12.18,0.00517563
12.19,0.00517462
12.2,0.00517361
12.21,0.00517261
12.22,0.0051716
12.23,0.0051706
12.24,0.0051696
12.25,0.00516859
12.26,0.0051676
12.27,0.0051666
12.28,0.0051656
12.29,0.0051646
12.3,0.00516361
12.31,0.00516262
12.32,0.00516162
12.33,0.00516063
12.34,0.00515964
12.35,0.00515866
12.36,0.00515767
12.37,0.00515668
12.38,0.0051557
12.39,0.00515471
12.4,0.00515373
12.41,0.00515275
12.42,0.00515177
12.43,0.00515079
12.44,0.00514982
12.45,0.00514884
12.46,0.00514786
12.47,0.00514689
12.48,0.00514592
12.49,0.00514495
12.5,0.00514398
12.51,0.00514301
12.52,0.00514204
12.53,0.00514107
12.54,0.00514011
12.55,0.00513914
12.56,0.00513818
12.57,0.00513722
12.58,0.00513626
12.59,0.0051353
12.6,0.00513434
12.61,0.00513338
12.62,0.00513242
12.63,0.00513147
12.64,0.00513052
12.65,0.00512956
12.66,0.00512861
12.67,0.00512766
12.68,0.00512671
12.69,0.00512576
12.7,0.00512482
12.71,0.00512387
12.72,0.00512293
12.73,0.00512198
12.74,0.00512104
12.75,0.0051201
12.76,0.00511916
12.77,0.00511822
12.78,0.00511728
12.79,0.00511635
12.8,0.00511541
12.81,0.00511448
12.82,0.00511354
12.83,0.00511261
12.84,0.00511168
12.85,0.00511075
12.86,0.00510982
12.87,0.00510889
12.88,0.00510797
12.89,0.00510704
12.9,0.00510612
12.91,0.00510519
12.92,0.00510427
12.93,0.00510335
12.94,0.00510243
12.95,0.00510151
12.96,0.00510059
12.97,0.00509968
12.98,0.00509876
12.99,0.00509785
13,0.00509693
13.01,0.00509602
13.02,0.00509511
13.03,0.0050942
13.04,0.00509329
13.05,0.00509238
13.06,0.00509148
13.07,0.00509057
13.08,0.00508967
13.09,0.00508876
13.1,0.00508786
13.11,0.00508696
13.12,0.00508606
13.13,0.00508516
13.14,0.00508426
13.15,0.00508337
13.16,0.00508247
13.17,0.00508157
13.18,0.00508068
13.19,0.00507979
13.2,0.0050789
13.21,0.00507801
13.22,0.00507712
13.23,0.00507623
13.24,0.00507534
13.25,0.00507445
13.26,0.00507357
13.27,0.00507268
13.28,0.0050718
13.29,0.00507092
13.3,0.00507004
13.31,0.00506916
13.32,0.00506828
13.33,0.0050674
13.34,0.00506652
13.35,0.00506565
13.36,0.00506477
13.37,0.0050639
13.38,0.00506302
13.39,0.00506215
13.4,0.00506128
13.41,0.00506041
13.42,0.00505954
13.43,0.00505867
13.44,0.00505781
13.45,0.00505694
13.46,0.00505608
13.47,0.00505521
13.48,0.00505435
13.49,0.00505349
13.5,0.00505263
13.51,0.00505177
13.52,0.00505091
13.53,0.00505005
