depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
13.375,peak,3.1112543069866663e-10,3.081937484239461e-10,8.510494929892536e-13,9.89963057081583e-13,0.9512465096104927,-0.09737809399016864,1.999871113211154
13.625,peak,3.1071525654624566e-10,3.078524298416596e-10,3.9052163813917935e-13,8.461819142415853e-13,0.9299347437532246,0.09879843864454285,1.7610710488619064
13.875,peak,3.1089318895283214e-10,3.0761256198275075e-10,5.122970026053955e-13,1.0778837863484592e-12,1.0664801687342518,0.006049809961882445,2.126910527506621
14.125,peak,3.106491669768729e-10,3.072134109061153e-10,6.29391490975998e-13,8.935482375364867e-13,1.118361356889963,0.2151312839432021,2.0215914298367244
14.375,peak,3.0924175689506227e-10,3.068819898999209e-10,1.1094264083500549e-12,7.695107848658757e-13,0.7689493267138081,-0.3419583148084023,1.8798569682360182
14.625,peak,3.0842032629152523e-10,3.07215492512114e-10,1.1454535672041258e-12,6.757135666269958e-13,0.3921787177981306,-0.730457313264506,1.5148147488607673
14.875,peak,3.0757027047911833e-10,3.068017178975424e-10,1.3277004742211191e-12,8.829785304709044e-13,0.2505046538991751,-1.0692228331925528,1.5702321409909028
15.125,peak,3.0744715559194446e-10,3.063433302941121e-10,1.234606416641948e-12,8.73316700083073e-13,0.3603229411825781,-0.8816611095805137,1.6023069919456698
15.375,peak,3.0691562074025566e-10,3.060735434701201e-10,1.0944235170027658e-12,9.008322423212662e-13,0.27512252793511216,-0.8693074980609595,1.419552553931184
15.625,peak,3.0649491918666173e-10,3.052319141261251e-10,1.0357308150007454e-12,6.962697237279032e-13,0.4137853881212239,-0.622936253408046,1.4505070296504938
15.875,peak,3.0626856073467935e-10,3.0441730700658813e-10,9.88884689220447e-13,9.449452335650116e-13,0.6081302493261775,-0.4949020780789442,1.7111625767312992
16.125,peak,3.0609800091951914e-10,3.0414315574489593e-10,1.2347758351292058e-12,6.607006915916263e-13,0.6427385057656387,-0.573825501592379,1.8593025131236562
16.375,peak,3.0520639143105655e-10,3.039499665646872e-10,1.2750760848446658e-12,6.211944827212804e-13,0.41336568665222284,-0.8423007407658941,1.6690321140703397
16.625,peak,3.0526027103405797e-10,3.032938320757239e-10,1.3115921555869068e-12,6.373193372405084e-13,0.648361011787113,-0.6460613797355734,1.9427834033097995
16.875,peak,3.0506776738548066e-10,3.027662489785144e-10,1.2462055104948365e-12,9.872557583651446e-13,0.7601634643000121,-0.5440238846715897,2.064350813271614
17.125,peak,3.04005800444429e-10,3.026265073913237e-10,1.2947474673160037e-12,1.1853069820624172e-12,0.4557740381022857,-0.9689094904433865,1.8804575666479577
17.375,peak,3.039903106127895e-10,3.025314379101474e-10,1.2314127538473031e-12,1.1864296592967231e-12,0.4822218519568766,-0.9043893004664473,1.8688330043802006
17.625,peak,3.0369180649358894e-10,3.0263296139310116e-10,1.4464329255504257e-12,9.940388688767564e-13,0.3498776523263025,-1.1154119418082415,1.8151672464608466
17.875,peak,3.028945536698302e-10,3.019350799604581e-10,1.3159481402029536e-12,1.0474677929387264e-12,0.3177748373914602,-1.0633285478121879,1.6988782225951085
18.125,peak,3.024618183644634e-10,3.014388448718819e-10,1.4135326683468107e-12,1.1436025282672703e-12,0.33936352596370956,-1.1538132842532642,1.8325403361806831
18.375,peak,3.0234009727792e-10,3.01010994689932e-10,1.1302329943969661e-12,1.0645050898565548e-12,0.4415461931405851,-0.824133068158275,1.7072254544394452
18.625,peak,3.0211062039597893e-10,3.008208341270802e-10,1.1771843561795401e-12,1.1485296431249931e-12,0.4287556321161956,-0.9119593699862156,1.7694706342186068
18.875,peak,3.013430898590741e-10,3.003462165906967e-10,1.153435468450554e-12,9.373224936958533e-13,0.33190804921505723,-0.8925665404607966,1.556382638890911
19.125,peak,3.0148753353387286e-10,2.995374757119862e-10,1.3859414996692438e-12,1.2406503874291581e-12,0.6510229871075301,-0.8769068355236485,2.1789528097387088
19.375,peak,3.0136428904370406e-10,2.993503574089118e-10,1.3611863937555753e-12,1.3111095943384102e-12,0.6727674061338229,-0.8774419089988448,2.2229767212664906
19.625,peak,3.005851613124833e-10,2.985497485497035e-10,1.287523582857296e-12,1.011457726111567e-12,0.6817666980687198,-0.6811576357884733,2.0446910319259133
19.875,peak,3.003580638960557e-10,2.9827916023350555e-10,9.688120057675285e-13,1.1755214662770643e-12,0.6969657755917957,-0.5698432216815864,1.9637747728651778
20.125,peak,3.001719278472592e-10,2.9750209705525775e-10,9.80639825307655e-13,7.644325452076593e-13,0.8974157891416645,-0.14270020060141528,1.9375317788847441
20.375,peak,2.990533096181025e-10,2.9690438168472615e-10,8.684122147134347e-13,6.816869915236748e-13,0.7237777769336651,-0.20049518028010527,1.6480507341474353
20.625,peak,2.987212019434082e-10,2.9687246524190416e-10,7.584270549373908e-13,9.480340767323164e-13,0.6227376796287265,-0.39424704743688443,1.6397224066943377
20.875,peak,2.985087542128895e-10,2.961497386877454e-10,7.871722453188419e-13,6.963029759271765e-13,0.7965617446083151,-0.07757616209482059,1.6706996513114507
21.125,peak,2.9800336278640316e-10,2.959960693260655e-10,6.650017430982185e-13,5.111604738611441e-13,0.6781486878889798,-0.027720708355982726,1.3840180841339422
21.375,peak,2.9775444886581684e-10,2.9597748039122964e-10,4.013187789674011e-13,8.484599904294103e-13,0.6003728635835204,-0.26316362262267295,1.4639093497897138
