energy_MeV_per_u,moved_fraction,quantile,radius_mm
150,0.0896592892,0.56,9.05404739
150,0.0896592892,0.57,9.05836113
150,0.0896592892,0.58,9.48469211
150,0.0896592892,0.59,9.48929536
150,0.0896592892,0.6,9.90030948
150,0.0896592892,0.61,10.2955453
150,0.0896592892,0.62,10.298892
150,0.0896592892,0.63,11.0467589
150,0.0896592892,0.64,11.3987199
150,0.0896592892,0.65,11.4021705
150,0.0896592892,0.66,11.4047887
150,0.0896592892,0.67,12.0833937
150,0.0896592892,0.68,12.7310819
150,0.0896592892,0.69,13.038296
150,0.0896592892,0.7,13.0413337
150,0.0896592892,0.71,13.344775
150,0.0896592892,0.72,14.2094453
150,0.0896592892,0.73,14.7631357
150,0.0896592892,0.74,15.0351385
150,0.0896592892,0.75,15.5531894
150,0.0896592892,0.76,15.8120736
150,0.0896592892,0.77,16.5556368
150,0.0896592892,0.78,17.0322889
150,0.0896592892,0.79,17.494412
150,0.0896592892,0.8,18.3852405
150,0.0896592892,0.81,19.0281019
150,0.0896592892,0.82,19.6445876
150,0.0896592892,0.83,20.2485909
150,0.0896592892,0.84,21.2106564
150,0.0896592892,0.85,21.9516551
150,0.0896592892,0.86,23.0184732
150,0.0896592892,0.87,23.7048199
150,0.0896592892,0.88,24.7010674
150,0.0896592892,0.89,25.8039929
150,0.0896592892,0.9,27.0217398
150,0.0896592892,0.91,28.4580369
150,0.0896592892,0.92,29.8323572
150,0.0896592892,0.93,31.399447
150,0.0896592892,0.94,33.3736119
150,0.0896592892,0.95,35.4650734
150,0.0896592892,0.96,38.0789011
150,0.0896592892,0.97,41.1120718
150,0.0896592892,0.98,45.2801094
150,0.0896592892,0.99,51.8681562
150,0.0896592892,1,140.003983
200,0.102426732,0,3.15908255
200,0.102426732,0.01,3.15908255
200,0.102426732,0.02,3.15908255
200,0.102426732,0.03,3.15994147
200,0.102426732,0.04,3.15994147
200,0.102426732,0.05,3.16003732
200,0.102426732,0.06,3.16003732
200,0.102426732,0.07,3.16003732
200,0.102426732,0.08,3.16175441
200,0.102426732,0.09,3.16175441
200,0.102426732,0.1,3.16280414
200,0.102426732,0.11,3.16280414
200,0.102426732,0.12,3.16451973
